Column1
"$345,000
16 Hamilton Place, Bowen Hills
 2 1 1 68 m²
Apartment
Sold on 12 Aug 2020"
"$510,000
1410/10 Stratton Street, Newstead
 2 2 2 86 m²
Apartment
Sold on 14 Jul 2020"
"$610,000
144/53 Vernon Terrace, Teneriffe
 2 2 1 108 m²
Apartment
Sold on 07 Jul 2020"
"$650,000
14/45 Doggett Street, Teneriffe
 2 2 2 169 m²
Apartment
Sold on 29 Jun 2020"
"$650,000
71/36 Vernon Terrace, Teneriffe
 2 2 1
Apartment
Sold on 22 Jun 2020"
"$535,000
17/258 Arthur Street, Teneriffe
 2 2 1
Apartment
Sold on 17 Jun 2020"
"$465,000
8/9 Doggett Street, Fortitude Valley
 2 2 1 112 m²
Apartment
Sold on 29 May 2020"
"$425,000
136/53 Vernon Terrace, Teneriffe
 2 1 1 79 m²
Apartment
Sold on 30 Apr 2020"
"$433,000
912/8 Jeays Street, Bowen Hills
 2 2 1
Apartment
Sold on 01 Apr 2020"
"$483,100
301/510 St Pauls Terrace, Bowen Hills
 2 2 1 102 m²
Apartment
Sold on 30 Mar 2020"
"$1,400,000
502/1 Gray Street, New Farm
 2 2 2
Apartment
Sold on 27 Mar 2020"
"$551,000
20612/37 Kyabra Street, Newstead
 2 2 1
Apartment
Sold on 26 Mar 2020"
"$585,000
412/70 Longland St, Newstead
 2 2 1
Unit
Sold on 11 Mar 2020"
"$429,000
74/454 Upper Edward Street, Spring Hill
 2 2 1 96 m²
Unit
Sold on 06 Mar 2020"
"$700,000
30 Festival Place, Newstead
 2 2 1 174 m²
Apartment
Sold on 20 Feb 2020"
"$527,500
1308/30 Festival Place, Newstead
 2 2 1
Apartment
Sold on 17 Feb 2020"
"$380,000
1003/10 Trinity Street, Fortitude Valley
 2 2 1
Apartment
Sold on 12 Feb 2020"
"$460,000
106/53 Vernon Tce, Teneriffe
 2 1 1 73 m²
Apartment
Sold on 11 Feb 2020"
"$610,000
58/68 Beeston Street, Teneriffe
 2 2 1 133 m²
Apartment
Sold on 07 Feb 2020"
"$610,000
66/36 Vernon Tce, Teneriffe
 2 2 1
Apartment
Sold on 17 Jan 2020"
"$435,000
1108/510 St Pauls Tce, Bowen Hills
 2 2 1 85 m²
Apartment
Sold on 16 Jan 2020"
"$605,000
2003/30 Festival Place, Newstead
 2 2 1
Apartment
Sold on 18 Oct 2019"
"$660,000
1804/30 Festival Place, Newstead
 2 2 2
Apartment
Sold on 08 Aug 2019"
"$490,000
53 Vernon Terrace, Teneriffe
 2 1 1 84 m²
Apartment
Sold on 12 Jun 2019"
"$765,000
414/18 Longland Street, Newstead
 2 2 1 122 m²
Apartment
Sold on 07 Jun 2019"
"$760,000
502/18 Longland Street, Newstead
 2 2 1
Apartment
Sold on 01 Jun 2019"
"$1,300,000
11/55 Oxlade Drive, New Farm
 2 2 2 234 m²
Apartment
Sold on 29 May 2019"
"$418,000
223/83 Robertson Street, Fortitude Valley
 2 2 1
Apartment
Sold on 12 Apr 2019"
"$555,000
58/176 Sydney Street, New Farm
 2 2 2
Apartment
Sold on 03 Apr 2019"
"$480,000
330/51 Hope Street, Spring Hill
 2 2 2 102 m²
Apartment
Sold on 02 Apr 2019"
"$1,275,000
602/53B Newstead Terrace, Newstead
 2 2 2 136 m²
Apartment
Sold on 01 Apr 2019"
"$522,000
141/53 Vernon Terrace, Teneriffe
 2 2 1 160 m²
Apartment
Sold on 08 Mar 2019"
"$438,000
425/78 Arthur Street, Fortitude Valley
 2 2 1 111 m²
Apartment
Sold on 27 Nov 2018"
"$595,000
802/53 Wyandra Street, Teneriffe
 2 2 1
Apartment
Sold on 15 Nov 2018"
"$530,000
324/8 Skyring Terrace, Teneriffe
 2 2 1
Apartment
Sold on 07 Nov 2018"
"$310,000
43/78 Brookes Street, Bowen Hills
 2 2 1
Unit
Sold on 05 Nov 2018"
"$760,000
110 Macquarie Street, Teneriffe
 2 1 2 136 m²
Apartment
Sold on 06 Aug 2018"
